MODELO;DESCRIPCIÓN;MEDIDA;UdM;MARCA;ALMACÉN;FILA;CONDICION;STOCK MIN;CANTIDAD;Precio unitario COMPRA;Precio Total;.;SOLICITAR
-;"VALUVULAS 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"VALVULAS ALTA PRESION 1/2""";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"VALVULA PVC C80 1/2""";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"VALVULA DE 1/2""";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"VALVULAS DE 3/8"" LATON ";"3/8""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"VALVULA DE 3/4"" LATON ";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"VALUVULA DE 1/2"" NEGRAS";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"CONEXIONES PVC C80  1""- 3/4""- 1/2""";;;;;;;;;;0;0;sin dato stock minimo
-;"NIPLE CUERDA CORRIDA 1"" PVC C80";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;5;;0;2;hay suficiente
-;"COPLE ROSCADO A CEMENTADO 3/4"" PVC C80";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"COPLE ROSCADO A CEMENTADO 1/2"" PVC C80";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"COPLE ROSCADO 1"" PVC C80";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"CODO 90 ROSCADO  3/4"" PVC C80";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"NIPLE ROSCADO 3/4"" PVC C80";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;4;;0;2;hay suficiente
-;"REDUCCION BUSHING 3/4"" A 1/2""";"3/4""- 1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"ESPIGA 3/4"" PVC C80";"3/4""";PIEZA;;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
-;"NIPLE CUERDA CORRIDA 1/2""  PVC C80";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"CODO 90 ROSCADO 1/2"" PVC C80";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"CODO 90 ROSCADO 1"" PVC C80";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"ADAPTADOR MACHO CEMENTADO 1/2"" PVC C80";"1/2""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"CODO 1"" PARA EQUIPO UREA PIUSI ";"1""";PIEZA;PIUSI;ESTANTE 2;;USADO;1;1;;0;1;solicitar material
-;"ESPIGA 1"" PARA EQUIPO UREA PIUSI";"1""";PIEZA;PIUSI;ESTANTE 2;;USADO ;1;1;;0;1;solicitar material
-;FILTROS ;;;;;;;;;;0;0;sin dato stock minimo
-;"FILTRO EN Y 1"" LATON ";"1""";PIEZA;FOSET;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"FILTRO EN Y 3/4"" LATON ";"3/4""";PIEZA;FOSET;ESTANTE 2;;NUEVO;1;3;;0;2;hay suficiente
-;"FILTRO EN Y 1/2"" DE LATON ";"1/2""";PIEZA;FOSET;ESTANTE 2;;NUEVO;1;2;;0;2;hay suficiente
L 5315;"CEDAZO FILTRO DE POLIPROPILENO 1""";"1""";PIEZA;WINTEK;ESTANTE 2;;USADO;1;3;;0;2;hay suficiente
-;"PICHANCHA 1""";"1""";PIEZA;;ESTANTE 2;;NUEVO;1;1;;0;1;solicitar material
-;"PICHANCHA 3/4"" LATON ";"3/4""";PIEZA;;ESTANTE 2;;;1;1;;0;1;solicitar material
-;"PICHANCHA 1/2"" LATON ";"1/2""";PIEZA;;ESTANTE 2;;;1;1;;0;1;solicitar material
-;RESPIRADEROS ;;;;;;;;;;0;0;sin dato stock minimo
-;"RESPIRADEROS PARA TOTTE 2""";"2""";PIEZA;;ESTANTE 2;;USADO;1;3;;0;2;hay suficiente
-;"ABRAZADERA PARA UNICANAL  1""";"1""";PIEZA;;ESTANTE 2;;;1;22;;0;2;hay suficiente
-;"ABRAZADERA PARA UNICANAL  3/4""";"3/4""";PIEZA;;ESTANTE 2;;;1;33;;0;2;hay suficiente
-;"ABRAZADERA PARA UNICANAL 1/2""";"1/2""";PIEZA;;ESTANTE 2;;;1;34;;0;2;hay suficiente
-;ESPIGAS PARA AIRE ;;PIEZA;;;;;;;;0;0;sin dato stock minimo
-;"ESPIGAS PARA AIRE 3/8""-  3/8""";"3/8""- 3/8""";PIEZA;;ESTANTE 2;;;1;37;;0;2;hay suficiente
-;"ESPIGAS PARA AIRE  3/8""- 1/4""";"3/8""- 1/4""";PIEZA;;ESTANTE 2;;;1;11;;0;2;hay suficiente
-;"ESPIGAS PARA AIRE 1/4""- 1/4""";"1/4""- 1/4""";PIEZA;;ESTANTE 2;;;1;29;;0;2;hay suficiente
-;CONECTOR RAPIDO PARA AIRE ;;PIEZA;;;;;;;;0;0;sin dato stock minimo
-;"COPLE RAPIDO HEMBRA  1/4""";"1/4""";PIEZA;;ESTANTE 2;;;1;5;;0;2;hay suficiente
-;"CONECTOR MACHO 1/4"" NPT ";"1/4""";PIEZA;;ESTANTE 2;;;1;2;;0;2;hay suficiente
-;"VALVULAS TIPO MARIPOSA  PARA AIRE 1/4""";"1/4""";PIEZA;;ESTANTE 2;;;1;8;;0;2;hay suficiente
-;"CONEXIONES 1/4"" ";;PIEZA;;ESTANTE 2;;;1;0;;0;1;solicitar material
-;"NIPLES 1/4"" GALVANIZADO";"1/4""";PIEZA;;ESTANTE 2;;;1;21;;0;2;hay suficiente
-;"CODO 90 1/4"" GALVANIZADO";"1/4""";PIEZA;;ESTANTE 2;;;1;11;;0;2;hay suficiente
-;"CODO 3/8"" GALVANIZADO ";"3/8""";PIEZA;;ESTANTE 2;;;1;2;;0;2;hay suficiente
-;ABRAZADERA  SIN FIN ;;PIEZA;;;;;;;;0;0;sin dato stock minimo
-;ABRAZADERA SIN FIN DIFERENTE MEDIDA;;PIEZA;;ESTANTE 2;;;1;42;;0;2;hay suficiente
-;"ABRAZADERA SIN FIN 1/4""";"1/4""";PIEZA;;ESTANTE 2;;;1;65;;0;2;hay suficiente
-;"CONECTORES PARA MANGUERA DE NYLON 1/4""";;PIEZA;;;;;;;;0;0;sin dato stock minimo
-;"CONECTOR CODO 1/4"" - 3/8"" NPT";"1/4""- 3/8""";PIEZA;;ESTANTE 2;;;1;4;;0;2;hay suficiente
-;"CONECTOR CODO 1/4"" - 1/4"" NPT";"1/4""- 1/4""";PIEZA;;ESTANTE 2;;;1;6;;0;2;hay suficiente
-;"CONECTOR RECTO 1/4"" - 1/4"" NPT";"1/4""- 1/4""";PIEZA;;ESTANTE 2;;;1;16;;0;2;hay suficiente
-;ABRAZADERA TIPO U DIFERENTES MEDIDAS;;PIEZA;;ESTANTE 2;;;1;35;;0;2;hay suficiente
-;"ROLLO DE MANGUERA 3/8""";;METROS;PARKER;ESTANTE 2;;;1;0;;0;1;solicitar material
L5306;CHAROLA ANTI-GOTEO;;PIEZA;WINTEK ;ESTANTE 2;;NUEVO;1;1;1050;1050;1;solicitar material
-;PAQUETE DE CINCHOS DIFERENTES LARGOS ;;PIEZA;;ESTANTE 2;;;1;19;;0;2;hay suficiente
-;"MANGUERA DE NYLON 1/4""";"1/4""";METROS;PISCIS;ESTANTE 2;;;1;3;;0;2;hay suficiente
-;MENSULAS Y BOTES;;;;;;;;;;0;0;sin dato stock minimo
-;"TUBO 3/4"" GALVANIZADO";"3/4""";METROS;;;;;1;10;;0;2;hay suficiente
-;"TUBO 1/2"" GALVANIZADO ";"1/2""";METROS;;;;;1;4;;0;2;hay suficiente
-;"TUBO 1"" ACERO C40";"1""";METROS;;;;;1;1;;0;1;solicitar material
-;"TUBO ACERO 3/4"" C 40";"3/4""";METROS;;;;;1;11.58;;0;2;hay suficiente
-;"TUBO DE ACERO 1/2"" C40";"1/2""";METROS;;;;;1;4.6;;0;2;hay suficiente
-;MENSULAS;;PIEZA;;;;;1;7;;0;2;hay suficiente
-;PERFILES NEGROS;;METROS;;;;;1;1.5;;0;1;solicitar material
-;PERFILES GRIS;;METROS;;;;;1;1.5;;0;1;solicitar material
-;"ANGULO DE ALUMINIO 3/4""";"3/4""";METROS;;;;;1;11;;0;2;hay suficiente
-;"TUBO CONDUIT PARA PARED DELGADA D 1/2""";"1/2""";METROS;;;;;1;23.66;;0;2;hay suficiente
-;"CONDUIT ELECTRICO PVC 1/2""";"1/2""";METROS;;;;;1;6;;0;2;hay suficiente
-;ESPARRAGOS;;METROS;;;;;1;9;;0;2;hay suficiente
-;ESPARRAGO DELGADO ;;METROS;;;;;1;2.2;;0;2;hay suficiente
-;"TUBO COBRE DE 1/2""";"1/2""";METROS;;;;;1;4;;0;2;hay suficiente
-;VARILLA;;METROS;;;;;1;1.3;;0;1;solicitar material
-;UNICANAL;2X2;METROS;;;;;1;3.5;;0;2;hay suficiente
-;"TUBO PVC  C80 1/2""";"1/2""";METROS;;;;;1;2.7;;0;2;hay suficiente
-;TUBERIA NEGRA;;METROS;;;;;1;9;;0;2;hay suficiente
-;"TUBO PVC C80 2""";"2""";METROS;;;;;1;5;;0;2;hay suficiente
-;"TUBO PVC C80 3/4""";"3/4""";METROS;;;;;1;8;;0;2;hay suficiente
-;"TUBO PVC C80 1""";"1""";METROS;;;;;1;3;;0;2;hay suficiente
-;"TUBO PVC C80 1 1/2""";"1 1/2""";METROS;;;;;1;0.6;;0;1;solicitar material
-;"TUBO PVC C40 1 1/2""";"1 1/2""";METROS;;;;;1;2.1;;0;2;hay suficiente
-;"TUBO PVC C40 1""";"1""";METROS;;;;;1;11;;0;2;hay suficiente
-;"TUBO PVC C40 1/2""";"1/2""";METROS;;;;;1;5;;0;2;hay suficiente
-;"TUBO PVC C40 1/2""";"1/2""";METROS;;;;;1;2;;0;2;hay suficiente
-;"SOLERA DE 1""";"1""";METROS;;;;;1;1;;0;1;solicitar material
-;MOLDURA DE UNION DE POLICARBONATO;;METROS;;;;;1;2.8;;0;2;hay suficiente
